State,County2,FIPS
Georgia,Pickens County,13227
Virginia,Staunton city,51790
Oklahoma,Beaver County,40007
North Carolina,Lee County,37105
Louisiana,Grant Parish,22043
Missouri,Reynolds County,29179
Missouri,St. Clair County,29185
North Carolina,Ashe County,37009
Illinois,Pulaski County,17153
Texas,Panola County,48365
North Carolina,Duplin County,37061
Illinois,Schuyler County,17169
Iowa,Webster County,19187
Texas,Leon County,48289
Indiana,Crawford County,18025
California,Sierra County,6091
Missouri,Atchison County,29005
Kansas,Thomas County,20193
Virginia,Richmond County,51159
South Carolina,Newberry County,45071
Kentucky,Monroe County,21171
Oklahoma,Johnston County,40069
South Dakota,Yankton County,46135
New York,Sullivan County,36105
Georgia,Tift County,13277
Virginia,Salem city,51775
Nebraska,Merrick County,31121
Georgia,Decatur County,13087
Nebraska,Howard County,31093
Kansas,Crawford County,20037
Nebraska,Greeley County,31077
Kentucky,Clinton County,21053
Missouri,Montgomery County,29139
Minnesota,Dodge County,27039
Louisiana,Pointe Coupee Parish,22077
Iowa,Mitchell County,19131
Mississippi,Tippah County,28139
West Virginia,Monroe County,54063
Texas,Bosque County,48035
Kentucky,McLean County,21149
North Dakota,Traill County,38097
Missouri,Oregon County,29149
Mississippi,Greene County,28041
Arkansas,Conway County,5029
Texas,Calhoun County,48057
Montana,Sheridan County,30091
Minnesota,Renville County,27129
Georgia,Lee County,13177
Minnesota,Cook County,27031
Kentucky,Bath County,21011
Nebraska,Nuckolls County,31129
Kansas,Labette County,20099
Oklahoma,Atoka County,40005
Virginia,Halifax County,51083
Iowa,Hancock County,19081
Colorado,Saguache County,8109
Virginia,Henry County,51089
Mississippi,Grenada County,28043
Kansas,Cloud County,20029
Illinois,Stark County,17175
North Carolina,Dare County,37055
Arkansas,Carroll County,5015
Kentucky,Casey County,21045
Missouri,Mississippi County,29133
North Carolina,Sampson County,37163
Florida,Washington County,12133
Oregon,Union County,41061
West Virginia,Brooke County,54009
Maryland,Queen Anne's County,24035
Virginia,Alleghany County,51005
Georgia,Clarke County,13059
Mississippi,Hancock County,28045
Kansas,Doniphan County,20043
West Virginia,Taylor County,54091
Oklahoma,Woodward County,40153
North Carolina,Pasquotank County,37139
Oregon,Wallowa County,41063
Kansas,Gray County,20069
Georgia,Brantley County,13025
Ohio,Carroll County,39019
Minnesota,Koochiching County,27071
Nebraska,Jefferson County,31095
Kentucky,Magoffin County,21153
Georgia,Colquitt County,13071
New York,Orleans County,36073
Idaho,Lincoln County,16063
Tennessee,Johnson County,47091
Iowa,Shelby County,19165
Virginia,Dinwiddie County,51053
Alabama,Pickens County,1107
Maryland,Somerset County,24039
West Virginia,Morgan County,54065
North Carolina,Beaufort County,37013
Tennessee,DeKalb County,47041
Pennsylvania,Wyoming County,42131
Ohio,Fayette County,39047
Nebraska,Seward County,31159
South Carolina,Bamberg County,45009
Louisiana,Sabine Parish,22085
Kentucky,Webster County,21233
Kansas,Marshall County,20117
North Carolina,Person County,37145
Texas,Tyler County,48457
Texas,Reeves County,48389
Pennsylvania,Union County,42119
Wisconsin,Richland County,55103
Missouri,Perry County,29157
Louisiana,Allen Parish,22003
Alabama,Greene County,1063
Iowa,Hamilton County,19079
Colorado,Chaffee County,8015
Florida,Lafayette County,12067
Texas,Upshur County,48459
Indiana,Parke County,18121
North Carolina,Brunswick County,37019
Missouri,Grundy County,29079
Louisiana,Franklin Parish,22041
Minnesota,Stevens County,27149
Illinois,Wabash County,17185
Kansas,Rice County,20159
Missouri,Wayne County,29223
Texas,Colorado County,48089
Indiana,Starke County,18149
Indiana,Martin County,18101
Minnesota,Swift County,27151
Indiana,Rush County,18139
Mississippi,Wilkinson County,28157
Kentucky,Hart County,21099
North Dakota,Ransom County,38073
Colorado,Pitkin County,8097
Tennessee,Carroll County,47017
Texas,Hansford County,48195
Wyoming,Goshen County,56015
Kansas,Douglas County,20045
Missouri,Holt County,29087
Illinois,Scott County,17171
North Carolina,Jackson County,37099
Utah,Beaver County,49001
Georgia,Mitchell County,13205
New Mexico,Mora County,35033
Iowa,Chickasaw County,19037
Wisconsin,Rusk County,55107
Nebraska,Clay County,31035
Alabama,Sumter County,1119
North Dakota,Sioux County,38085
Texas,Houston County,48225
Oklahoma,Craig County,40035
Kansas,Neosho County,20133
Montana,Sanders County,30089
South Carolina,Dillon County,45033
Texas,Yoakum County,48501
South Dakota,Brule County,46015
Florida,Gulf County,12045
Missouri,Chariton County,29041
Minnesota,Grant County,27051
Iowa,Appanoose County,19007
Tennessee,Stewart County,47161
Texas,Gaines County,48165
Iowa,Montgomery County,19137
North Carolina,Bertie County,37015
North Carolina,Yancey County,37199
South Carolina,Chester County,45023
North Carolina,Cherokee County,37039
Iowa,Cerro Gordo County,19033
Michigan,Mackinac County,26097
Tennessee,Obion County,47131
Florida,Calhoun County,12013
West Virginia,Clay County,54015
Minnesota,Todd County,27153
Virginia,Manassas city,51683
Kentucky,Fleming County,21069
Texas,Palo Pinto County,48363
South Carolina,Edgefield County,45037
Virginia,Pulaski County,51155
South Dakota,Jackson County,46071
Oregon,Lincoln County,41041
Georgia,Fayette County,13113
North Dakota,Ramsey County,38071
Nevada,Lincoln County,32017
Kentucky,McCreary County,21147
Iowa,Cherokee County,19035
South Dakota,Gregory County,46053
Oregon,Crook County,41013
Iowa,Poweshiek County,19157
Mississippi,Leake County,28079
Iowa,Iowa County,19095
Kansas,Cherokee County,20021
Maryland,Dorchester County,24019
Missouri,Osage County,29151
Arkansas,Drew County,5043
Kentucky,Russell County,21207
Mississippi,Perry County,28111
Florida,Hamilton County,12047
North Carolina,McDowell County,37111
Michigan,Benzie County,26019
Mississippi,Smith County,28129
Iowa,Fremont County,19071
Virginia,Grayson County,51077
Iowa,Sac County,19161
North Dakota,Stutsman County,38093
Tennessee,Humphreys County,47085
Mississippi,Jefferson County,28063
Kentucky,Breckinridge County,21027
Colorado,Summit County,8117
North Carolina,Madison County,37115
Georgia,Glynn County,13127
Colorado,Moffat County,8081
Georgia,Habersham County,13137
Kansas,Barton County,20009
Louisiana,De Soto Parish,22031
Texas,Jackson County,48239
Colorado,Baca County,8009
New York,Greene County,36039
Kentucky,Carroll County,21041
Indiana,Fulton County,18049
Missouri,Gentry County,29075
Missouri,Barton County,29011
Indiana,Fountain County,18045
Kansas,Nemaha County,20131
Texas,Gray County,48179
Texas,Lavaca County,48285
Montana,Powell County,30077
West Virginia,Jefferson County,54037
West Virginia,Lewis County,54041
Arkansas,Yell County,5149
Idaho,Oneida County,16071
Texas,Montague County,48337
Indiana,Jay County,18075
Alabama,Cherokee County,1019
Minnesota,Sibley County,27143
Nebraska,York County,31185
Pennsylvania,Mifflin County,42087
Missouri,Monroe County,29137
Montana,Dawson County,30021
Colorado,Kit Carson County,8063
Arkansas,Logan County,5083
North Carolina,Davie County,37059
Nevada,Douglas County,32005
Iowa,Jackson County,19097
Kentucky,Lincoln County,21137
Missouri,Gasconade County,29073
Florida,Jefferson County,12065
Wisconsin,Jackson County,55053
Texas,Crosby County,48107
Kansas,Coffey County,20031
Indiana,Miami County,18103
Kentucky,Powell County,21197
Minnesota,Mahnomen County,27087
Nebraska,Red Willow County,31145
Florida,Flagler County,12035
Michigan,Cheboygan County,26031
Oklahoma,Pushmataha County,40127
Arkansas,Hempstead County,5057
California,Modoc County,6049
South Carolina,Chesterfield County,45025
Arkansas,Clay County,5021
Tennessee,Henry County,47079
Virginia,Harrisonburg city,51660
Kansas,Washington County,20201
Mississippi,Winston County,28159
Texas,Coryell County,48099
South Dakota,McPherson County,46089
Texas,Comanche County,48093
Nebraska,Phelps County,31137
Minnesota,Kanabec County,27065
Nevada,Carson City,32510
Idaho,Clearwater County,16035
Missouri,Iron County,29093
Kentucky,Lawrence County,21127
Oklahoma,Haskell County,40061
Tennessee,Rhea County,47143
Nebraska,Wayne County,31179
Mississippi,Tishomingo County,28141
South Dakota,Lawrence County,46081
Oregon,Clatsop County,41007
Tennessee,Fayette County,47047
Texas,Terry County,48445
Iowa,Wright County,19197
Texas,Nolan County,48353
Kentucky,Estill County,21065
Iowa,Winnebago County,19189
Texas,Shelby County,48419
Texas,Mitchell County,48335
Wisconsin,Green Lake County,55047
Nebraska,Otoe County,31131
North Carolina,Montgomery County,37123
Arkansas,Polk County,5113
Tennessee,Lincoln County,47103
Kentucky,Wolfe County,21237
Wisconsin,Sawyer County,55113
Washington,Pend Oreille County,53051
Minnesota,Aitkin County,27001
North Carolina,Macon County,37113
Indiana,Adams County,18001
Idaho,Teton County,16081
Indiana,Vermillion County,18165
Missouri,Dade County,29057
Texas,Walker County,48471
Kentucky,Clark County,21049
Texas,Hopkins County,48223
Kansas,Miami County,20121
Alabama,Wilcox County,1131
Tennessee,Benton County,47005
Iowa,Louisa County,19115
Tennessee,Cannon County,47015
Nebraska,Kearney County,31099
Illinois,Moultrie County,17139
Indiana,Decatur County,18031
Tennessee,White County,47185
North Dakota,McKenzie County,38053
Texas,Jasper County,48241
Nebraska,Thayer County,31169
North Carolina,Alexander County,37003
Iowa,Lee County,19111
Colorado,Fremont County,8043
Idaho,Idaho County,16049
Alabama,Butler County,1013
Tennessee,Polk County,47139
Missouri,Dent County,29065
Mississippi,George County,28039
Oklahoma,Carter County,40019
Illinois,Alexander County,17003
South Dakota,Roberts County,46109
Indiana,Orange County,18117
Texas,Zapata County,48505
Michigan,Gladwin County,26051
Arkansas,Crawford County,5033
Texas,Freestone County,48161
Texas,Austin County,48015
Wisconsin,Shawano County,55115
Oklahoma,Seminole County,40133
Missouri,Newton County,29145
Tennessee,Marshall County,47117
Georgia,Spalding County,13255
Alabama,Cleburne County,1029
Mississippi,Scott County,28123
Missouri,Cedar County,29039
Georgia,Haralson County,13143
Minnesota,Pope County,27121
Georgia,Jackson County,13157
Washington,Skamania County,53059
Pennsylvania,Wayne County,42127
Texas,Polk County,48373
Alabama,Barbour County,1005
Oregon,Morrow County,41049
Louisiana,St. Charles Parish,22089
Illinois,De Witt County,17039
Florida,Liberty County,12077
South Carolina,Hampton County,45049
Wisconsin,Vilas County,55125
North Carolina,Columbus County,37047
Nebraska,Hamilton County,31081
Tennessee,Bedford County,47003
Mississippi,Jasper County,28061
Kansas,Harvey County,20079
Illinois,Lawrence County,17101
Oklahoma,Canadian County,40017
Michigan,Otsego County,26137
Michigan,Roscommon County,26143
Florida,Union County,12125
Louisiana,Beauregard Parish,22011
Kentucky,Leslie County,21131
Michigan,Kalkaska County,26079
Arkansas,Lawrence County,5075
Kentucky,Anderson County,21005
Kentucky,Harrison County,21097
Idaho,Valley County,16085
Wisconsin,Ashland County,55003
South Carolina,Jasper County,45053
North Dakota,Grand Forks County,38035
Iowa,Guthrie County,19077
Colorado,Rio Grande County,8105
Louisiana,Claiborne Parish,22027
Tennessee,Macon County,47111
Missouri,Pike County,29163
Kentucky,Martin County,21159
Tennessee,Smith County,47159
Kentucky,Taylor County,21217
Washington,Asotin County,53003
Missouri,Pulaski County,29169
Kentucky,Marion County,21155
Mississippi,Union County,28145
Texas,Frio County,48163
Mississippi,Copiah County,28029
North Carolina,Harnett County,37085
Texas,Anderson County,48001
Kansas,Sumner County,20191
Michigan,Arenac County,26011
Indiana,Posey County,18129
Colorado,Washington County,8121
Pennsylvania,Fulton County,42057
Missouri,Adair County,29001
New Mexico,Roosevelt County,35041
Kansas,Franklin County,20059
South Dakota,Faulk County,46049
Mississippi,Tallahatchie County,28135
Missouri,Clinton County,29049
Utah,Garfield County,49017
Rhode Island,Bristol County,44001
Oklahoma,Wagoner County,40145
Idaho,Lemhi County,16059
Wyoming,Albany County,56001
Alaska,Kodiak Island Borough,2150
Louisiana,Bienville Parish,22013
Arkansas,Izard County,5065
Missouri,Livingston County,29117
Florida,Franklin County,12037
Texas,Burnet County,48053
Oregon,Jefferson County,41031
South Dakota,Davison County,46035
North Dakota,LaMoure County,38045
Oklahoma,Stephens County,40137
Oklahoma,Cleveland County,40027
Iowa,Page County,19145
Virginia,Campbell County,51031
Montana,Madison County,30057
Michigan,Presque Isle County,26141
Minnesota,Cottonwood County,27033
South Carolina,Barnwell County,45011
Iowa,Carroll County,19027
Pennsylvania,Monroe County,42089
Michigan,Oceana County,26127
Louisiana,St. John the Baptist Parish,22095
Kansas,Lyon County,20111
Tennessee,Henderson County,47077
Virginia,Shenandoah County,51171
Iowa,Allamakee County,19005
Texas,Moore County,48341
South Carolina,Fairfield County,45039
Nebraska,Fillmore County,31059
Mississippi,Tunica County,28143
South Dakota,Jerauld County,46073
Georgia,Rockdale County,13247
Georgia,Oconee County,13219
Oklahoma,Bryan County,40013
Kentucky,Rockcastle County,21203
Kentucky,Breathitt County,21025
Kansas,Kingman County,20095
Virginia,Page County,51139
Missouri,Shannon County,29203
North Carolina,Carteret County,37031
Texas,Callahan County,48059
Kentucky,Shelby County,21211
Kentucky,Butler County,21031
Oklahoma,McClain County,40087
Montana,Toole County,30101
Kansas,Leavenworth County,20103
Alabama,Conecuh County,1035
Iowa,Henry County,19087
Minnesota,Hubbard County,27057
Illinois,Greene County,17061
Wisconsin,Taylor County,55119
Wyoming,Teton County,56039
Florida,Gilchrist County,12041
North Dakota,Mountrail County,38061
Nebraska,Polk County,31143
Colorado,Yuma County,8125
Mississippi,Itawamba County,28057
Mississippi,Clay County,28025
Kansas,Ellis County,20051
California,Plumas County,6063
Illinois,Cass County,17017
Texas,Titus County,48449
South Carolina,Marion County,45067
Louisiana,West Baton Rouge Parish,22121
Alabama,Macon County,1087
South Carolina,Abbeville County,45001
Montana,Jefferson County,30043
New Mexico,Socorro County,35053
Missouri,Crawford County,29055
Virginia,Fauquier County,51061
Tennessee,Fentress County,47049
Indiana,Franklin County,18047
Tennessee,Hardeman County,47069
Nebraska,Nemaha County,31127
Florida,Holmes County,12059
Indiana,Steuben County,18151
Indiana,Jasper County,18073
North Carolina,Granville County,37077
Iowa,Kossuth County,19109
Iowa,Jones County,19105
Idaho,Caribou County,16029
Idaho,Bear Lake County,16007
Kentucky,Lewis County,21135
New York,Columbia County,36021
Iowa,Muscatine County,19139
Pennsylvania,Snyder County,42109
Kentucky,Grant County,21081
New Mexico,Guadalupe County,35019
Minnesota,Waseca County,27161
Alaska,Southeast Fairbanks Census Area,2240
Florida,Glades County,12043
Texas,Milam County,48331
Oklahoma,Okmulgee County,40111
Missouri,Benton County,29015
Iowa,Plymouth County,19149
Oklahoma,Payne County,40119
West Virginia,Braxton County,54007
Montana,Garfield County,30033
Virginia,Petersburg city,51730
Kansas,Shawnee County,20177
South Carolina,Laurens County,45059
Iowa,Dickinson County,19059
Wisconsin,Waushara County,55137
Oklahoma,Lincoln County,40081
Minnesota,Le Sueur County,27079
Georgia,Bulloch County,13031
Mississippi,Oktibbeha County,28105
North Carolina,Onslow County,37133
South Dakota,Aurora County,46003
Illinois,Carroll County,17015
Minnesota,Marshall County,27089
Illinois,Menard County,17129
Wyoming,Platte County,56031
Iowa,Des Moines County,19057
Montana,Silver Bow County,30093
Indiana,Daviess County,18027
Alabama,Hale County,1065
Wyoming,Big Horn County,56003
Kentucky,Boyle County,21021
Ohio,Monroe County,39111
Tennessee,Hickman County,47081
Texas,Wood County,48499
West Virginia,Wetzel County,54103
North Carolina,Avery County,37011
Arkansas,Hot Spring County,5059
Washington,Jefferson County,53031
Indiana,Jennings County,18079
Texas,Deaf Smith County,48117
Arkansas,Poinsett County,5111
Kentucky,Montgomery County,21173
Alaska,Fairbanks North Star Borough,2090
Colorado,Las Animas County,8071
Illinois,Johnson County,17087
Kentucky,Grayson County,21085
Ohio,Meigs County,39105
Minnesota,Watonwan County,27165
Nebraska,Cheyenne County,31033
New Mexico,Torrance County,35057
Indiana,Washington County,18175
North Carolina,Moore County,37125
Texas,Zavala County,48507
Louisiana,Jefferson Davis Parish,22053
Kansas,Seward County,20175
Mississippi,Wayne County,28153
Indiana,Fayette County,18041
North Carolina,Watauga County,37189
Kentucky,Jessamine County,21113
Tennessee,Grainger County,47057
West Virginia,Lincoln County,54043
New Mexico,Lincoln County,35027
Nevada,White Pine County,32033
Florida,Baker County,12003
South Carolina,Dorchester County,45035
Mississippi,Neshoba County,28099
Texas,Pecos County,48371
Missouri,DeKalb County,29063
Nebraska,Cedar County,31027
Minnesota,Roseau County,27135
Mississippi,Covington County,28031
Illinois,Cumberland County,17035
South Dakota,Marshall County,46091
Idaho,Washington County,16087
Utah,Morgan County,49029
Arkansas,Cleburne County,5023
Tennessee,Morgan County,47129
North Carolina,Martin County,37117
Tennessee,McNairy County,47109
Wisconsin,Lincoln County,55069
Iowa,Palo Alto County,19147
Iowa,Winneshiek County,19191
Tennessee,Hamblen County,47063
North Carolina,Rockingham County,37157
North Carolina,Rutherford County,37161
Oklahoma,Pontotoc County,40123
Wisconsin,Door County,55029
Iowa,Wapello County,19179
Texas,Eastland County,48133
Georgia,Bartow County,13015
Georgia,Gordon County,13129
New York,Tompkins County,36109
Kentucky,Logan County,21141
Nevada,Lyon County,32019
South Carolina,Beaufort County,45013
Idaho,Franklin County,16041
Wisconsin,Buffalo County,55011
Texas,Gillespie County,48171
Illinois,Ford County,17053
California,Del Norte County,6015
Idaho,Owyhee County,16073
Iowa,Buena Vista County,19021
Wisconsin,Kewaunee County,55061
Ohio,Hocking County,39073
Texas,Cass County,48067
Missouri,Ray County,29177
Kentucky,Franklin County,21073
Virginia,Danville city,51590
Illinois,Jasper County,17079
Kansas,Pottawatomie County,20149
Georgia,Catoosa County,13047
Oklahoma,Garvin County,40049
West Virginia,Ohio County,54069
Tennessee,Dyer County,47045
Louisiana,Assumption Parish,22007
Indiana,Spencer County,18147
Texas,Runnels County,48399
Nebraska,Washington County,31177
West Virginia,McDowell County,54047
Colorado,Prowers County,8099
Ohio,Henry County,39069
Nebraska,Gage County,31067
Tennessee,Montgomery County,47125
Arkansas,St. Francis County,5123
Iowa,Crawford County,19047
Iowa,Delaware County,19055
Kentucky,Knott County,21119
Tennessee,Weakley County,47183
Louisiana,East Feliciana Parish,22037
Pennsylvania,Clinton County,42035
Colorado,Montezuma County,8083
South Carolina,Lee County,45061
Virginia,Buchanan County,51027
North Dakota,McHenry County,38049
South Carolina,Kershaw County,45055
Tennessee,Wayne County,47181
Iowa,Washington County,19183
Arizona,Greenlee County,4011
Kentucky,Wayne County,21231
Pennsylvania,Elk County,42047
Iowa,Harrison County,19085
North Dakota,Walsh County,38099
South Carolina,Oconee County,45073
Minnesota,Pipestone County,27117
Indiana,White County,18181
South Dakota,Hanson County,46061
Florida,Sumter County,12119
Rhode Island,Newport County,44005
Idaho,Jerome County,16053
Washington,Ferry County,53019
North Carolina,Craven County,37049
Oklahoma,Garfield County,40047
Nebraska,Thurston County,31173
Mississippi,Clarke County,28023
South Dakota,Clark County,46025
New York,Schoharie County,36095
Iowa,Clayton County,19043
Montana,Judith Basin County,30045
Texas,Hood County,48221
Virginia,Frederick County,51069
Missouri,Ozark County,29153
Ohio,Adams County,39001
Kentucky,Rowan County,21205
Nebraska,Holt County,31089
Iowa,Lyon County,19119
Idaho,Gooding County,16047
North Carolina,Haywood County,37087
Georgia,Coweta County,13077
Georgia,Thomas County,13275
Missouri,New Madrid County,29143
Wisconsin,Washburn County,55129
Iowa,Madison County,19121
Nebraska,Knox County,31107
South Dakota,Union County,46127
Arkansas,Independence County,5063
Missouri,Audrain County,29007
Tennessee,Grundy County,47061
Pennsylvania,Jefferson County,42065
Colorado,Conejos County,8021
California,Mariposa County,6043
Missouri,Phelps County,29161
Indiana,Wells County,18179
Illinois,Mercer County,17131
Montana,Park County,30067
Michigan,Emmet County,26047
Alabama,Monroe County,1099
Montana,Rosebud County,30087
Florida,DeSoto County,12027
Mississippi,Simpson County,28127
Florida,Dixie County,12029
West Virginia,Hancock County,54029
Tennessee,McMinn County,47107
Indiana,Clay County,18021
California,Amador County,6005
Indiana,Huntington County,18069
North Carolina,Pender County,37141
Washington,Lincoln County,53043
Minnesota,Big Stone County,27011
Nebraska,Saline County,31151
Missouri,Bates County,29013
Illinois,Washington County,17189
Texas,Fannin County,48147
Iowa,Marshall County,19127
Missouri,Hickory County,29085
Iowa,Cedar County,19031
Arkansas,Phillips County,5107
Iowa,Grundy County,19075
Colorado,Otero County,8089
Montana,Phillips County,30071
Missouri,Ripley County,29181
North Carolina,Yadkin County,37197
Utah,Kane County,49025
South Carolina,Greenwood County,45047
Indiana,Lawrence County,18093
Illinois,Massac County,17127
Wyoming,Lincoln County,56023
Alaska,Dillingham Census Area,2070
North Carolina,Cumberland County,37051
Minnesota,Redwood County,27127
Tennessee,Overton County,47133
Kansas,Jefferson County,20087
Arkansas,Greene County,5055
Indiana,Scott County,18143
Ohio,Wyandot County,39175
Michigan,Alpena County,26007
Oregon,Coos County,41011
Indiana,Gibson County,18051
Pennsylvania,Potter County,42105
Illinois,Bond County,17005
Missouri,Laclede County,29105
Alabama,Pike County,1109
Iowa,Clinton County,19045
Illinois,Clay County,17025
Arkansas,Miller County,5091
New York,Genesee County,36037
Mississippi,Tate County,28137
Kentucky,Jackson County,21109
Wyoming,Uinta County,56041
Iowa,Cass County,19029
Mississippi,Attala County,28007
Idaho,Fremont County,16043
Montana,Richland County,30083
Texas,Howard County,48227
Michigan,Iosco County,26069
Kentucky,Morgan County,21175
Louisiana,Iberville Parish,22047
Arkansas,Johnson County,5071
Kentucky,Christian County,21047
Missouri,Pettis County,29159
Illinois,Perry County,17145
Colorado,Logan County,8075
Georgia,Columbia County,13073
Missouri,Daviess County,29061
Indiana,Jefferson County,18077
Indiana,Whitley County,18183
Alabama,Geneva County,1061
Pennsylvania,Warren County,42123
Mississippi,Marion County,28091
Michigan,Charlevoix County,26029
North Dakota,Richland County,38077
Kentucky,Muhlenberg County,21177
Georgia,Walker County,13295
New Mexico,Quay County,35037
Michigan,Manistee County,26101
Oklahoma,Ottawa County,40115
South Dakota,Corson County,46031
Ohio,Jackson County,39079
Nebraska,Antelope County,31003
Arkansas,Baxter County,5005
Georgia,Walton County,13297
Montana,Lincoln County,30053
Tennessee,Franklin County,47051
Louisiana,Evangeline Parish,22039
Washington,Pacific County,53049
Wisconsin,Douglas County,55031
Texas,Waller County,48473
Alabama,Russell County,1113
Washington,San Juan County,53055
North Carolina,Chatham County,37037
Ohio,Paulding County,39125
Oklahoma,Mayes County,40097
Virginia,Botetourt County,51023
Utah,Carbon County,49007
Tennessee,Union County,47173
Tennessee,Scott County,47151
Michigan,Mason County,26105
Texas,Duval County,48131
Minnesota,Wabasha County,27157
Tennessee,Dickson County,47043
Oregon,Columbia County,41009
North Dakota,McLean County,38055
New York,Montgomery County,36057
Ohio,Logan County,39091
Mississippi,Yazoo County,28163
Idaho,Payette County,16075
Wisconsin,Crawford County,55023
North Carolina,Henderson County,37089
Tennessee,Loudon County,47105
Alabama,Tallapoosa County,1123
Minnesota,Meeker County,27093
Texas,Harrison County,48203
Iowa,Benton County,19011
South Dakota,Edmunds County,46045
Louisiana,Vernon Parish,22115
Georgia,Laurens County,13175
Missouri,Saline County,29195
Minnesota,Nobles County,27105
Oregon,Polk County,41053
Mississippi,Alcorn County,28003
Mississippi,Chickasaw County,28017
Alabama,Clarke County,1025
Maryland,Calvert County,24009
Wyoming,Converse County,56009
Tennessee,Tipton County,47167
Indiana,Clinton County,18023
Florida,Taylor County,12123
Missouri,Marion County,29127
Virginia,Alexandria city,51510
New York,Fulton County,36035
Oklahoma,Grady County,40051
Virginia,Lee County,51105
Idaho,Gem County,16045
Indiana,Sullivan County,18153
South Dakota,McCook County,46087
Georgia,Murray County,13213
South Dakota,Hamlin County,46057
Kentucky,Calloway County,21035
Nebraska,Cass County,31025
Mississippi,Pontotoc County,28115
South Dakota,Charles Mix County,46023
West Virginia,Mingo County,54059
New York,Wyoming County,36121
Louisiana,Concordia Parish,22029
Iowa,Hardin County,19083
West Virginia,Hampshire County,54027
Indiana,LaGrange County,18087
Texas,Erath County,48143
Texas,Rusk County,48401
Minnesota,Winona County,27169
Tennessee,Cheatham County,47021
Texas,Rockwall County,48397
Missouri,Bollinger County,29017
New York,Lewis County,36049
Kentucky,Graves County,21083
Idaho,Latah County,16057
Alabama,Randolph County,1111
South Dakota,Turner County,46125
Alaska,Lake and Peninsula Borough,2164
Mississippi,Lafayette County,28071
Arkansas,Union County,5139
Missouri,Andrew County,29003
Missouri,Carroll County,29033
California,Calaveras County,6009
Texas,Parmer County,48369
Pennsylvania,Perry County,42099
South Dakota,Dewey County,46041
Louisiana,Terrebonne Parish,22109
Kansas,Osage County,20139
Montana,Beaverhead County,30001
Michigan,Antrim County,26009
Vermont,Caledonia County,50005
Minnesota,Wadena County,27159
Nevada,Humboldt County,32013
Texas,Lamb County,48279
Missouri,Barry County,29009
Texas,Chambers County,48071
Missouri,Moniteau County,29135
South Dakota,Bon Homme County,46009
Texas,Matagorda County,48321
Idaho,Elmore County,16039
Alabama,Lowndes County,1085
Arizona,La Paz County,4012
Illinois,Mason County,17125
Missouri,Linn County,29115
Georgia,Newton County,13217
Alaska,Matanuska-Susitna Borough,2170
Mississippi,Holmes County,28051
Missouri,Caldwell County,29025
Missouri,Taney County,29213
Iowa,Boone County,19015
Mississippi,Newton County,28101
Iowa,Butler County,19023
North Dakota,Stark County,38089
Illinois,Clark County,17023
Colorado,Broomfield County,8014
Missouri,Camden County,29029
Texas,Gonzales County,48177
Idaho,Minidoka County,16067
West Virginia,Preston County,54077
Tennessee,Coffee County,47031
Missouri,Lafayette County,29107
Virginia,Accomack County,51001
Alaska,North Slope Borough,2185
Montana,Valley County,30105
Missouri,Randolph County,29175
Washington,Klickitat County,53039
New York,Otsego County,36077
Mississippi,Lincoln County,28085
Missouri,Butler County,29023
Alabama,Chilton County,1021
Oklahoma,Delaware County,40041
Montana,Custer County,30017
South Dakota,Meade County,46093
West Virginia,Mason County,54053
Montana,Chouteau County,30015
Alabama,Marengo County,1091
Illinois,Warren County,17187
Iowa,Fayette County,19065
Indiana,Vanderburgh County,18163
Wisconsin,Iowa County,55049
Missouri,Johnson County,29101
Oklahoma,Pottawatomie County,40125
Colorado,Routt County,8107
Wisconsin,Oneida County,55085
Wisconsin,Oconto County,55083
Texas,Kendall County,48259
Tennessee,Jefferson County,47089
New York,Putnam County,36079
Kentucky,Ohio County,21183
Colorado,La Plata County,8067
Louisiana,Lafourche Parish,22057
Utah,Wasatch County,49051
Ohio,Coshocton County,39031
Utah,Millard County,49027
Mississippi,Marshall County,28093
New York,Cortland County,36023
Texas,Cherokee County,48073
North Carolina,Vance County,37181
Utah,Emery County,49015
Florida,Hardee County,12049
Kentucky,Scott County,21209
Texas,Karnes County,48255
Nebraska,Adams County,31001
Texas,Cooke County,48097
Virginia,Lynchburg city,51680
New Mexico,Otero County,35035
New York,Cayuga County,36011
New Mexico,Luna County,35029
North Carolina,Lenoir County,37107
Indiana,Knox County,18083
Oregon,Baker County,41001
Illinois,Crawford County,17033
Minnesota,Lyon County,27083
Michigan,Clare County,26035
Ohio,Van Wert County,39161
South Dakota,Beadle County,46005
Georgia,Troup County,13285
North Carolina,Stokes County,37169
Oklahoma,Caddo County,40015
Missouri,Vernon County,29217
Georgia,Lowndes County,13185
Tennessee,Cocke County,47029
Missouri,Cooper County,29053
Texas,DeWitt County,48123
Pennsylvania,Huntingdon County,42061
Mississippi,Adams County,28001
Nebraska,Custer County,31041
Kentucky,Clay County,21051
Texas,Wharton County,48481
Maryland,Cecil County,24015
Utah,Juab County,49023
South Carolina,Cherokee County,45021
Tennessee,Marion County,47115
South Carolina,Clarendon County,45027
Iowa,Sioux County,19167
Minnesota,Polk County,27119
Kentucky,Meade County,21163
Indiana,Randolph County,18135
North Dakota,Benson County,38005
West Virginia,Upshur County,54097
South Dakota,Kingsbury County,46077
Georgia,Floyd County,13115
Oregon,Harney County,41025
Washington,Mason County,53045
Kansas,Dickinson County,20041
